ruta;id
F:/TrabajoFinGrado/DataNuevo_720x720/['id10270']/au0.png;['id10270']
F:/TrabajoFinGrado/DataNuevo_720x720/['id10270']/au1.png;['id10270']
F:/TrabajoFinGrado/DataNuevo_720x720/['id10270']/au10.png;['id10270']
F:/TrabajoFinGrado/DataNuevo_720x720/['id10270']/au100.png;['id10270']
F:/TrabajoFinGrado/DataNuevo_720x720/['id10270']/au101.png;['id10270']
F:/TrabajoFinGrado/DataNuevo_720x720/['id10270']/au102.png;['id10270']
F:/TrabajoFinGrado/DataNuevo_720x720/['id10270']/au103.png;['id10270']
F:/TrabajoFinGrado/DataNuevo_720x720/['id10270']/au104.png;['id10270']
F:/TrabajoFinGrado/DataNuevo_720x720/['id10270']/au105.png;['id10270']
F:/TrabajoFinGrado/DataNuevo_720x720/['id10270']/au106.png;['id10270']
F:/TrabajoFinGrado/DataNuevo_720x720/['id10270']/au107.png;['id10270']
F:/TrabajoFinGrado/DataNuevo_720x720/['id10270']/au108.png;['id10270']
F:/TrabajoFinGrado/DataNuevo_720x720/['id10270']/au109.png;['id10270']
F:/TrabajoFinGrado/DataNuevo_720x720/['id10270']/au11.png;['id10270']
F:/TrabajoFinGrado/DataNuevo_720x720/['id10270']/au110.png;['id10270']
F:/TrabajoFinGrado/DataNuevo_720x720/['id10270']/au111.png;['id10270']
F:/TrabajoFinGrado/DataNuevo_720x720/['id10270']/au112.png;['id10270']
F:/TrabajoFinGrado/DataNuevo_720x720/['id10270']/au113.png;['id10270']
F:/TrabajoFinGrado/DataNuevo_720x720/['id10270']/au114.png;['id10270']
F:/TrabajoFinGrado/DataNuevo_720x720/['id10270']/au115.png;['id10270']
F:/TrabajoFinGrado/DataNuevo_720x720/['id10270']/au116.png;['id10270']
F:/TrabajoFinGrado/DataNuevo_720x720/['id10270']/au117.png;['id10270']
F:/TrabajoFinGrado/DataNuevo_720x720/['id10270']/au118.png;['id10270']
F:/TrabajoFinGrado/DataNuevo_720x720/['id10270']/au119.png;['id10270']
F:/TrabajoFinGrado/DataNuevo_720x720/['id10270']/au12.png;['id10270']
F:/TrabajoFinGrado/DataNuevo_720x720/['id10270']/au120.png;['id10270']
F:/TrabajoFinGrado/DataNuevo_720x720/['id10270']/au121.png;['id10270']
F:/TrabajoFinGrado/DataNuevo_720x720/['id10270']/au122.png;['id10270']
F:/TrabajoFinGrado/DataNuevo_720x720/['id10270']/au123.png;['id10270']
F:/TrabajoFinGrado/DataNuevo_720x720/['id10270']/au124.png;['id10270']
F:/TrabajoFinGrado/DataNuevo_720x720/['id10270']/au125.png;['id10270']
F:/TrabajoFinGrado/DataNuevo_720x720/['id10270']/au126.png;['id10270']
F:/TrabajoFinGrado/DataNuevo_720x720/['id10270']/au127.png;['id10270']
F:/TrabajoFinGrado/DataNuevo_720x720/['id10270']/au128.png;['id10270']
F:/TrabajoFinGrado/DataNuevo_720x720/['id10270']/au129.png;['id10270']
F:/TrabajoFinGrado/DataNuevo_720x720/['id10270']/au13.png;['id10270']
F:/TrabajoFinGrado/DataNuevo_720x720/['id10270']/au130.png;['id10270']
F:/TrabajoFinGrado/DataNuevo_720x720/['id10270']/au131.png;['id10270']
F:/TrabajoFinGrado/DataNuevo_720x720/['id10270']/au132.png;['id10270']
F:/TrabajoFinGrado/DataNuevo_720x720/['id10270']/au133.png;['id10270']
F:/TrabajoFinGrado/DataNuevo_720x720/['id10270']/au134.png;['id10270']
F:/TrabajoFinGrado/DataNuevo_720x720/['id10270']/au135.png;['id10270']
F:/TrabajoFinGrado/DataNuevo_720x720/['id10270']/au136.png;['id10270']
F:/TrabajoFinGrado/DataNuevo_720x720/['id10270']/au137.png;['id10270']
F:/TrabajoFinGrado/DataNuevo_720x720/['id10270']/au138.png;['id10270']
F:/TrabajoFinGrado/DataNuevo_720x720/['id10270']/au139.png;['id10270']
F:/TrabajoFinGrado/DataNuevo_720x720/['id10270']/au14.png;['id10270']
F:/TrabajoFinGrado/DataNuevo_720x720/['id10270']/au140.png;['id10270']
F:/TrabajoFinGrado/DataNuevo_720x720/['id10270']/au141.png;['id10270']
F:/TrabajoFinGrado/DataNuevo_720x720/['id10270']/au142.png;['id10270']
F:/TrabajoFinGrado/DataNuevo_720x720/['id10270']/au143.png;['id10270']
